datetime,power
2022-03-01,18357.0
2022-03-02,57463.0
2022-03-03,42199.0
2022-03-04,25067.0
2022-03-05,11222.0
2022-03-06,12221.0
2022-03-07,4059.0
2022-03-08,9439.0
2022-03-09,4026.0
2022-03-10,5903.0
2022-03-11,1732.0
2022-03-12,1886.0
2022-03-13,4483.0
2022-03-14,11228.0
2022-03-15,43701.0
2022-03-16,26600.0
2022-03-17,4276.0
2022-03-18,8830.0
2022-03-19,21729.0
2022-03-20,4239.0
2022-03-21,10762.0
2022-03-22,2965.0
2022-03-23,12664.0
2022-03-24,5757.0
2022-03-25,2749.0
2022-03-26,1599.0
2022-03-27,6532.0
2022-03-28,3818.0
2022-03-29,4300.0
2022-03-30,8489.0
2022-03-31,5359.0
