datetime,windSpeed,windGust,temperature,pressure,Solar,aveWindSpeed,airDensity,power,date,time
2022-03-01 00:00:00,14.0,16.0,68.0,30.0,0.0,15.0,1.0,611.0,2022-03-01,00:00:00
2022-03-01 01:00:00,15.0,17.0,67.0,30.0,0.0,16.0,1.0,768.0,2022-03-01,01:00:00
2022-03-01 02:00:00,17.0,19.0,67.0,30.0,0.0,18.0,1.0,1089.0,2022-03-01,02:00:00
2022-03-01 03:00:00,16.0,18.0,67.0,30.0,0.0,17.0,1.0,867.0,2022-03-01,03:00:00
2022-03-01 04:00:00,17.0,20.0,68.0,30.0,0.0,19.0,1.0,1233.0,2022-03-01,04:00:00
2022-03-01 05:00:00,16.0,19.0,67.0,30.0,0.0,18.0,1.0,1055.0,2022-03-01,05:00:00
2022-03-01 06:00:00,15.0,17.0,67.0,30.0,0.0,16.0,1.0,772.0,2022-03-01,06:00:00
2022-03-01 07:00:00,18.0,22.0,69.0,30.0,23.0,20.0,1.0,1482.0,2022-03-01,07:00:00
2022-03-01 08:00:00,23.0,27.0,71.0,30.0,96.0,25.0,1.0,2974.0,2022-03-01,08:00:00
2022-03-01 09:00:00,24.0,29.0,72.0,30.0,317.0,27.0,1.0,3450.0,2022-03-01,09:00:00
2022-03-01 10:00:00,26.0,30.0,72.0,30.0,331.0,28.0,1.0,4056.0,2022-03-01,10:00:00
2022-03-01 11:00:00,,,,,,,,,2022-03-01,11:00:00
2022-03-01 12:00:00,,,,,,,,,2022-03-01,12:00:00
2022-03-01 13:00:00,,,,,,,,,2022-03-01,13:00:00
2022-03-01 14:00:00,,,,,,,,,2022-03-01,14:00:00
2022-03-01 15:00:00,,,,,,,,,2022-03-01,15:00:00
2022-03-01 16:00:00,,,,,,,,,2022-03-01,16:00:00
2022-03-01 17:00:00,,,,,,,,,2022-03-01,17:00:00
2022-03-01 18:00:00,,,,,,,,,2022-03-01,18:00:00
2022-03-01 19:00:00,,,,,,,,,2022-03-01,19:00:00
2022-03-01 20:00:00,,,,,,,,,2022-03-01,20:00:00
2022-03-01 21:00:00,,,,,,,,,2022-03-01,21:00:00
2022-03-01 22:00:00,,,,,,,,,2022-03-01,22:00:00
2022-03-01 23:00:00,,,,,,,,,2022-03-01,23:00:00
2022-03-02 00:00:00,,,,,,,,,2022-03-02,00:00:00
2022-03-02 01:00:00,23.0,27.0,67.0,30.0,0.0,25.0,1.0,2996.0,2022-03-02,01:00:00
2022-03-02 02:00:00,24.0,28.0,66.0,30.0,0.0,26.0,1.0,3411.0,2022-03-02,02:00:00
2022-03-02 03:00:00,23.0,28.0,66.0,30.0,0.0,25.0,1.0,3083.0,2022-03-02,03:00:00
2022-03-02 04:00:00,25.0,29.0,66.0,30.0,0.0,27.0,1.0,3504.0,2022-03-02,04:00:00
2022-03-02 05:00:00,23.0,27.0,65.0,30.0,0.0,25.0,1.0,2931.0,2022-03-02,05:00:00
2022-03-02 06:00:00,25.0,29.0,66.0,30.0,0.0,27.0,1.0,3621.0,2022-03-02,06:00:00
2022-03-02 07:00:00,23.0,27.0,66.0,30.0,27.0,25.0,1.0,2911.0,2022-03-02,07:00:00
2022-03-02 08:00:00,24.0,28.0,68.0,30.0,142.0,26.0,1.0,3186.0,2022-03-02,08:00:00
2022-03-02 09:00:00,23.0,27.0,69.0,30.0,353.0,25.0,1.0,3061.0,2022-03-02,09:00:00
2022-03-02 10:00:00,24.0,28.0,70.0,30.0,656.0,26.0,1.0,3240.0,2022-03-02,10:00:00
2022-03-02 11:00:00,23.0,27.0,72.0,30.0,989.0,25.0,1.0,2749.0,2022-03-02,11:00:00
2022-03-02 12:00:00,19.0,23.0,72.0,30.0,507.0,21.0,1.0,1655.0,2022-03-02,12:00:00
2022-03-02 13:00:00,18.0,21.0,72.0,30.0,359.0,20.0,1.0,1379.0,2022-03-02,13:00:00
2022-03-02 14:00:00,22.0,25.0,73.0,30.0,640.0,24.0,1.0,2395.0,2022-03-02,14:00:00
2022-03-02 15:00:00,22.0,26.0,75.0,30.0,790.0,24.0,1.0,2405.0,2022-03-02,15:00:00
